 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,2.134,11608.157,10863,12210,2.134,12919.886,12086,13589,2.134,434.214,395,492
2,2.134,11117.957,10177,11752,2.134,12307.614,11540,12920,2.134,418.057,360,456
3,2.134,10856.771,10037,11504,2.134,12047.172,11430,12748,2.134,407.657,360,454
4,2.134,10654.786,9920,11224,2.134,11804.515,11101,12507,2.134,404.300,362,466
5,2.134,10497.343,9705,11123,2.134,11654.500,10711,12286,2.134,397.071,357,445
6,2.134,10405.043,9553,10963,2.134,11483.172,10804,12197,2.134,396.757,357,441
7,2.134,10224.528,9457,10756,2.134,11427.843,10620,12214,2.134,393.171,351,438
8,2.134,10194.900,9442,10755,2.134,11343.500,10535,12062,2.134,391.543,353,450
9,2.134,10208.843,9604,10748,2.134,11353.028,10553,12127,2.134,392.914,341,430
10,2.134,10069.614,9364,10630,2.134,11186.143,10427,11902,2.134,384.257,331,438
11,2.134,3492.886,2964,4237,2.134,11980.985,11030,12695,2.134,408.943,361,462
12,2.134,4329.643,3804,5100,2.134,11573.672,10688,12173,2.134,395.814,349,439
13,2.134,4857.157,4414,5701,2.134,11330.800,10474,12022,2.134,391.414,346,448
14,2.134,5327.043,4710,6067,2.134,11271.886,10474,11930,2.134,382.300,325,439
15,2.134,5588.114,5006,6302,2.134,11115.043,10372,11696,2.134,378.514,321,427
16,2.134,5837.186,5209,6478,2.134,11104.371,10415,11668,2.134,384.200,339,428
17,2.134,5973.043,5367,6633,2.134,10970.229,10418,11620,2.134,384.857,341,437
18,2.134,6175.057,5557,6823,2.134,11064.200,10355,11577,2.134,378.757,325,422
19,2.134,6231.957,5500,6854,2.134,10974.886,10155,11461,2.134,378.386,339,424
20,2.134,6329.500,5660,6896,2.134,10884.058,9975,11577,2.134,376.643,332,439
21,2.134,6397.929,5825,6913,2.134,10818.229,10038,11567,2.134,369.186,333,427
22,2.134,6523.214,5757,7060,2.134,10778.472,10060,11570,2.134,370.886,334,433
23,2.134,6591.872,5878,7050,2.134,10767.771,10016,11407,2.134,367.857,322,419
24,2.134,6624.971,6039,7017,2.134,10755.200,10037,11375,2.134,372.886,332,415
25,2.134,6680.357,6142,7187,2.134,10736.929,9916,11318,2.134,366.071,308,407
26,2.134,6799.714,6358,7272,2.134,10744.386,10020,11311,2.134,362.443,301,425
27,2.134,6851.657,6282,7237,2.134,10713.871,10043,11306,2.134,365.343,324,409
28,2.134,6935.214,6387,7373,2.134,10723.100,9908,11398,2.134,363.443,328,408
