 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,0.976,10139.500,9335,10720,0.976,8318.625,7584,8858,0.976,427.344,390,480
2,0.976,9685.781,8902,10259,0.976,8037.781,7201,8509,0.976,403.062,353,444
3,0.976,9554.438,8775,10167,0.976,7923.938,6999,8477,0.976,397.594,336,452
4,0.976,9379.500,8518,9971,0.976,7755.219,6933,8226,0.976,400.438,369,435
5,0.976,9346.781,8711,9877,0.976,7754.062,6919,8193,0.976,392.281,353,428
6,0.976,9268.688,8492,9926,0.976,7729.188,7000,8205,0.976,393.125,351,447
7,0.976,9329.469,8527,10014,0.976,7667.531,6811,8201,0.976,376.594,348,414
8,0.976,9181.438,8466,9630,0.976,7500.500,6697,7953,0.976,373.969,321,410
9,0.976,9146.781,8417,9627,0.976,7476.344,6791,7986,0.976,372.156,321,420
10,0.976,9138.969,8420,9626,0.976,7423.031,6576,7919,0.976,385.812,336,448
11,0.976,2741.156,2441,3100,0.976,7804.781,7061,8325,0.976,391.438,338,442
12,0.976,3539.438,3130,4016,0.976,7530.594,6844,7949,0.976,375.969,346,419
13,0.976,3969.938,3413,4596,0.976,7459.594,6802,7919,0.976,377.406,325,424
14,0.976,4381.875,3907,4808,0.976,7572.156,6781,8166,0.976,372.750,330,408
15,0.976,4538.156,4073,4996,0.976,7473.781,6504,8045,0.976,376.094,335,436
16,0.976,4770.219,4312,5201,0.976,7417.594,6680,7868,0.976,376.469,343,419
17,0.976,4892.875,4464,5253,0.976,7291.781,6230,7893,0.976,369.438,331,397
18,0.976,5003.875,4604,5335,0.976,7260.812,6336,7907,0.976,365.812,331,399
19,0.976,5147.188,4694,5438,0.976,7278.125,6338,8005,0.976,371.281,338,407
20,0.976,5321.562,4973,5640,0.976,7202.406,6229,7919,0.976,362.875,307,413
21,0.976,5446.656,4982,5833,0.976,7197.094,6322,7714,0.976,363.781,337,410
22,0.976,5564.688,5078,6000,0.976,7300.562,6120,7898,0.976,360.781,323,386
23,0.976,5699.875,5286,6100,0.976,7319.938,6157,7996,0.976,365.969,332,422
24,0.976,5761.062,5369,6108,0.976,7255.500,6093,7972,0.976,367.250,337,409
25,0.976,5883.062,5293,6250,0.976,7161.969,5914,7907,0.976,364.625,319,420
26,0.976,5886.531,5352,6282,0.976,7185.062,5889,7777,0.976,361.219,340,389
27,0.976,6022.844,5515,6488,0.976,7156.312,5910,7908,0.976,349.969,315,391
28,0.976,6116.188,5515,6517,0.976,7119.375,5694,7903,0.976,357.219,326,400
29,0.976,6166.125,5545,6580,0.976,7180.250,5716,7990,0.976,363.969,338,412
30,0.976,6261.375,5745,6727,0.976,7101.125,5952,7730,0.976,357.562,323,396
31,0.976,6285.094,5681,6625,0.976,7057.312,5822,7785,0.976,357.094,322,401
32,0.976,6319.656,5843,6654,0.976,7078.156,5616,7811,0.976,363.906,314,401
33,0.976,6368.656,5757,6798,0.976,7021.969,5785,7837,0.976,347.688,323,385
34,0.976,6463.281,5947,6819,0.976,7017.969,5839,7674,0.976,355.188,324,393
35,0.976,6575.656,6138,7000,0.976,6998.094,5754,7753,0.976,360.000,317,409
36,0.976,6540.281,6028,7010,0.976,7017.875,5687,7765,0.976,356.844,322,404
