 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,1.128,11939.297,11421,12234,1.128,11829.324,11519,12230,1.128,643.054,584,721
2,1.128,11443.297,11179,11875,1.128,11273.622,10991,11517,1.128,613.081,511,722
3,1.128,11199.405,10727,11569,1.128,10947.919,10507,11312,1.128,603.919,526,705
4,1.128,11045.000,10707,11273,1.128,10793.297,10456,11038,1.128,601.865,528,720
5,1.128,11186.703,10816,11567,1.128,11008.595,10701,11269,1.128,603.324,525,722
6,1.128,10895.243,10617,11193,1.128,10787.892,10567,11102,1.128,594.757,507,711
7,1.128,10831.973,10507,11132,1.128,10758.000,10523,11063,1.128,585.378,500,692
8,1.128,10768.919,10537,11126,1.128,10690.622,10258,10920,1.128,586.865,481,730
9,1.128,10873.108,10546,11101,1.128,10719.162,10482,10971,1.128,595.513,488,699
10,1.128,10767.757,10384,10998,1.128,10650.784,10293,10954,1.128,582.622,502,695
11,1.128,2516.243,2100,3047,1.128,11295.865,11003,11634,1.128,606.865,500,695
12,1.128,3071.216,2677,3615,1.128,10912.378,10613,11332,1.128,587.378,466,686
13,1.128,3587.081,3205,4165,1.128,10824.297,10603,11197,1.128,570.351,455,699
14,1.128,3997.594,3686,4500,1.128,10729.243,10574,10966,1.128,567.297,502,672
15,1.128,4477.324,3974,5003,1.128,10815.648,10551,11292,1.128,572.676,492,709
16,1.128,4710.216,4350,5238,1.128,10637.135,10379,11030,1.128,573.487,484,671
17,1.128,5004.297,4607,5547,1.128,10663.405,10332,10842,1.128,568.487,489,679
18,1.128,5225.541,4802,5759,1.128,10610.865,10317,10928,1.128,559.865,491,687
19,1.128,5398.676,5040,5823,1.128,10546.595,10319,11004,1.128,564.703,505,677
20,1.128,5586.648,5200,6142,1.128,10553.676,10342,10886,1.128,549.676,464,636
21,1.128,5755.000,5374,6167,1.128,10449.162,10175,10762,1.128,555.459,463,656
22,1.128,5859.271,5387,6315,1.128,10457.433,10138,10679,1.128,558.243,478,649
23,1.128,6065.189,5675,6601,1.128,10428.433,10076,10676,1.128,554.973,478,692
24,1.128,6158.973,5640,6634,1.128,10391.757,10108,10762,1.128,557.054,472,662
25,1.128,6264.352,5812,6756,1.128,10387.784,10054,10630,1.128,554.838,487,689
26,1.128,6359.271,5998,6823,1.128,10341.135,9882,10693,1.128,555.811,482,685
27,1.128,6471.324,6107,7016,1.128,10339.297,9992,10650,1.128,560.730,460,703
28,1.128,6600.892,6221,7071,1.128,10352.433,10008,10585,1.128,550.189,462,621
29,1.128,6693.324,6220,7109,1.128,10383.405,9893,10714,1.128,556.730,468,634
30,1.128,6766.757,6362,7184,1.128,10356.838,9944,10665,1.128,550.270,468,643
31,1.128,6879.000,6342,7391,1.128,10363.676,10109,10740,1.128,551.378,466,666
32,1.128,7007.865,6534,7288,1.128,10517.405,10163,10824,1.128,558.595,479,649
33,1.128,7112.162,6703,7416,1.128,10455.919,10167,10818,1.128,556.324,488,634
34,1.128,7230.108,6605,7607,1.128,10544.811,10215,10770,1.128,565.513,489,692
35,1.128,7315.757,6844,7691,1.128,10434.135,10096,10746,1.128,556.054,479,665
36,1.128,7290.352,6791,7674,1.128,10354.784,10061,10674,1.128,546.676,457,675
