 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,0.976,12562.031,12348,12834,0.976,12051.688,11434,12541,0.976,439.625,397,488
2,0.976,11954.688,11618,12194,0.976,11474.219,10930,11895,0.976,423.000,388,455
3,0.976,11707.844,11468,11942,0.976,11265.438,10829,11685,0.976,411.438,366,465
4,0.976,11448.812,11166,11776,0.976,11050.625,10562,11394,0.976,406.875,352,470
5,0.976,11412.781,11113,11647,0.976,11044.031,10487,11445,0.976,408.500,372,455
6,0.976,11256.531,10988,11557,0.976,10924.469,10446,11306,0.976,409.719,378,449
7,0.976,11201.656,10878,11416,0.976,10894.688,10310,11344,0.976,396.438,359,431
8,0.976,11271.500,10974,11519,0.976,10790.125,10277,11267,0.976,403.531,379,436
9,0.976,10974.250,10749,11208,0.976,10704.094,10212,11010,0.976,402.281,355,435
10,0.976,11050.062,10852,11165,0.976,10624.594,10217,10939,0.976,396.594,344,451
11,0.976,2483.469,1958,3103,0.976,11229.188,10738,11625,0.976,410.094,378,454
12,0.976,3299.594,2958,3718,0.976,10805.812,10334,11172,0.976,390.781,358,445
13,0.976,3913.500,3599,4323,0.976,10573.250,10018,10998,0.976,389.688,340,435
14,0.976,4347.906,4059,4770,0.976,10419.906,10026,10697,0.976,387.469,361,428
15,0.976,4880.719,4616,5212,0.976,10541.719,10124,10796,0.976,392.438,339,437
16,0.976,5193.656,4932,5657,0.976,10300.250,10030,10557,0.976,391.969,353,431
17,0.976,5412.219,5070,5787,0.976,10193.969,9958,10496,0.976,380.344,341,442
18,0.976,5666.438,5267,6039,0.976,10204.938,9810,10526,0.976,382.375,338,421
19,0.976,5982.719,5699,6356,0.976,10174.562,9800,10554,0.976,385.875,349,434
20,0.976,6130.000,5801,6542,0.976,10061.375,9826,10394,0.976,380.812,340,434
21,0.976,6262.719,5855,6550,0.976,9978.812,9592,10382,0.976,376.969,331,420
22,0.976,6451.312,6117,6809,0.976,9871.969,9499,10200,0.976,378.062,348,413
23,0.976,6539.219,6164,6908,0.976,9819.781,9429,10139,0.976,374.469,338,413
24,0.976,6671.812,6330,6897,0.976,9731.625,9396,10055,0.976,374.219,336,411
25,0.976,6827.656,6525,7245,0.976,9677.844,9407,10026,0.976,379.031,339,414
26,0.976,6937.719,6532,7330,0.976,9691.500,9429,10025,0.976,369.875,332,419
27,0.976,7021.906,6625,7326,0.976,9645.500,9397,9958,0.976,373.906,345,403
28,0.976,7170.406,6881,7437,0.976,9656.812,9371,10090,0.976,368.969,321,399
29,0.976,7195.625,6852,7535,0.976,9673.594,9211,10051,0.976,372.906,328,410
30,0.976,7339.969,7072,7683,0.976,9573.875,9240,9886,0.976,368.469,334,407
31,0.976,7348.844,6969,7764,0.976,9536.156,9232,10040,0.976,368.938,326,413
32,0.976,7442.688,7013,7817,0.976,9494.875,9194,9808,0.976,371.656,332,402
33,0.976,7438.469,7112,7631,0.976,9438.094,9184,9776,0.976,369.219,332,409
34,0.976,7540.750,7380,7713,0.976,9499.625,9206,9850,0.976,372.906,346,406
35,0.976,7644.062,7329,7992,0.976,9443.719,9125,9750,0.976,372.094,339,402
36,0.976,7671.406,7358,7927,0.976,9450.812,9193,9719,0.976,370.812,332,404
37,0.976,8088.781,7748,8419,0.976,9781.125,9425,10106,0.976,385.031,340,432
38,0.976,8030.594,7655,8351,0.976,9534.594,9200,9837,0.976,374.594,353,404
39,0.976,7921.938,7527,8257,0.976,9395.125,9081,9653,0.976,375.656,334,442
40,0.976,7954.344,7689,8266,0.976,9347.031,9105,9543,0.976,374.344,323,395
41,0.976,7974.719,7625,8303,0.976,9286.188,8969,9610,0.976,371.594,334,415
42,0.976,8003.031,7791,8236,0.976,9404.406,9147,9682,0.976,366.219,333,401
43,0.976,8043.688,7738,8310,0.976,9335.125,8932,9564,0.976,367.344,330,407
44,0.976,8084.219,7704,8370,0.976,9301.156,9023,9644,0.976,375.156,346,429
45,0.976,8238.219,7872,8511,0.976,9445.375,9108,9644,0.976,374.156,313,409
46,0.976,8222.875,7922,8641,0.976,9305.906,8979,9645,0.976,373.250,345,409
47,0.976,8246.531,7915,8434,0.976,9368.125,8898,9628,0.976,370.031,342,409
48,0.976,8263.312,8035,8471,0.976,9307.469,8870,9543,0.976,375.938,340,410
49,0.976,8202.125,7915,8483,0.976,9207.406,8910,9442,0.976,367.406,319,400
50,0.976,8270.656,7984,8675,0.976,9232.875,8883,9499,0.976,366.344,327,411
51,0.976,8390.469,8203,8687,0.976,9332.438,8928,9630,0.976,372.688,340,421
52,0.976,8342.062,8075,8566,0.976,9239.969,8753,9530,0.976,365.906,323,402
53,0.976,8340.844,8089,8596,0.976,9200.500,8838,9462,0.976,365.531,329,406
54,0.976,8371.719,8143,8602,0.976,9190.125,8860,9572,0.976,366.906,330,403
55,0.976,8370.531,8077,8620,0.976,9207.656,8723,9469,0.976,366.406,322,403
56,0.976,8477.469,8173,8712,0.976,9190.000,8512,9381,0.976,376.250,343,401
57,0.976,8432.688,8134,8642,0.976,9092.031,8585,9399,0.976,371.656,333,414
58,0.976,8498.250,8094,8752,0.976,9163.875,8736,9421,0.976,369.625,326,404
59,0.976,8408.438,8154,8619,0.976,9132.312,8759,9399,0.976,363.969,322,416
60,0.976,8416.438,8142,8676,0.976,9114.906,8876,9411,0.976,367.156,337,395
61,0.976,8423.750,8177,8643,0.976,9137.281,8680,9394,0.976,366.438,336,414
62,0.976,8466.000,8292,8761,0.976,9056.062,8670,9330,0.976,363.812,335,388
63,0.976,8522.625,8319,8751,0.976,9075.375,8677,9324,0.976,369.656,331,420
64,0.976,8562.938,8308,8870,0.976,9029.625,8619,9267,0.976,367.312,326,411
65,0.976,8545.188,8391,8784,0.976,9041.188,8723,9330,0.976,366.906,340,398
66,0.976,8503.250,8220,8733,0.976,9056.688,8709,9329,0.976,364.219,311,390
67,0.976,8549.812,8202,8830,0.976,9067.812,8711,9431,0.976,362.812,320,401
68,0.976,8607.906,8314,8811,0.976,9002.594,8545,9345,0.976,366.250,333,394
69,0.976,8836.750,8661,9028,0.976,9294.906,8749,9660,0.976,368.250,313,408
70,0.976,8647.312,8396,8879,0.976,9125.938,8796,9421,0.976,363.688,319,387
71,0.976,8775.281,8597,8989,0.976,9181.469,8751,9529,0.976,372.250,340,433
72,0.976,8701.719,8517,8990,0.976,9081.719,8775,9357,0.976,355.500,316,382
73,0.976,8649.344,8429,8885,0.976,9032.250,8490,9361,0.976,370.156,332,398
74,0.976,8669.906,8330,8953,0.976,8959.469,8639,9340,0.976,365.875,330,397
75,0.976,8638.375,8362,8900,0.976,8998.219,8632,9364,0.976,363.656,332,397
76,0.976,8686.906,8447,8911,0.976,9075.719,8497,9382,0.976,362.469,327,398
77,0.976,8702.781,8420,9026,0.976,9037.031,8636,9349,0.976,364.406,330,397
78,0.976,8709.562,8481,8886,0.976,8952.250,8423,9174,0.976,357.250,318,404
79,0.976,8810.375,8604,9036,0.976,8954.906,8677,9237,0.976,370.281,284,407
80,0.976,8823.719,8594,9021,0.976,9003.344,8618,9251,0.976,363.844,326,416
81,0.976,8732.281,8423,8936,0.976,8917.781,8486,9183,0.976,361.969,333,424
82,0.976,8856.938,8642,9099,0.976,8977.938,8619,9338,0.976,368.594,319,412
83,0.976,8816.688,8644,9010,0.976,8969.438,8568,9399,0.976,367.156,342,414
