 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,1.128,6503.324,6273,6720,1.128,5916.514,5730,6088,1.128,197.973,172,222
2,1.128,6201.189,5902,6436,1.128,5649.567,5412,5870,1.128,195.000,169,234
3,1.128,6059.919,5772,6306,1.128,5497.784,5265,5743,1.128,190.000,156,215
4,1.128,6057.162,5797,6325,1.128,5547.271,5377,5691,1.128,191.054,168,222
5,1.128,5935.433,5623,6134,1.128,5412.135,5225,5641,1.128,186.135,156,219
6,1.128,5881.729,5480,6166,1.128,5348.405,5163,5514,1.128,187.973,163,220
7,1.128,5849.081,5571,6054,1.128,5350.189,5156,5553,1.128,187.108,152,221
8,1.128,5869.541,5707,6084,1.128,5354.216,5100,5579,1.128,187.189,161,217
9,1.128,5824.081,5558,6034,1.128,5297.595,5086,5490,1.128,183.108,156,209
10,1.128,5764.297,5524,5975,1.128,5224.595,4967,5396,1.128,185.649,165,214
11,1.128,432.946,272,785,1.128,5327.271,5088,5579,1.128,181.351,161,206
12,1.128,428.405,289,745,1.128,5122.324,4819,5379,1.128,177.432,153,202
13,1.128,439.000,294,762,1.128,5143.000,4914,5400,1.128,174.865,157,195
14,1.128,439.622,306,781,1.128,5038.703,4795,5315,1.128,169.541,151,189
15,1.128,451.027,301,776,1.128,5202.108,4950,5468,1.128,175.216,147,201
16,1.128,435.378,286,752,1.128,5024.378,4736,5194,1.128,172.405,153,190
17,1.128,455.405,300,807,1.128,5176.433,4841,5458,1.128,176.541,155,211
18,1.128,441.946,308,803,1.128,5075.892,4747,5402,1.128,176.649,154,200
19,1.128,433.432,288,776,1.128,4970.622,4704,5220,1.128,175.919,153,203
20,1.128,435.514,296,714,1.128,4966.919,4762,5237,1.128,173.676,155,192
21,1.128,439.270,293,741,1.128,4904.216,4605,5163,1.128,173.919,146,217
22,1.128,436.189,317,707,1.128,4872.919,4625,5085,1.128,170.324,147,200
23,1.128,441.081,291,770,1.128,4908.433,4699,5145,1.128,172.514,158,203
24,1.128,435.486,296,729,1.128,4861.352,4668,5077,1.128,177.568,148,204
25,1.128,436.108,302,736,1.128,4812.216,4598,5039,1.128,172.568,152,189
26,1.128,430.811,291,755,1.128,4844.243,4646,5021,1.128,170.324,153,195
27,1.128,441.622,292,779,1.128,4830.271,4626,5088,1.128,172.270,149,193
28,1.128,441.189,309,727,1.128,4831.054,4555,5106,1.128,169.324,152,187
29,1.128,450.622,289,812,1.128,4843.703,4614,5013,1.128,173.000,157,206
30,1.128,453.270,303,755,1.128,4988.027,4791,5202,1.128,172.081,149,201
31,1.128,443.757,310,783,1.128,4873.973,4656,5083,1.128,172.189,149,192
32,1.128,449.135,306,785,1.128,4825.216,4618,5001,1.128,169.973,154,193
33,1.128,447.054,305,801,1.128,4785.352,4454,5029,1.128,169.568,147,196
34,1.128,441.730,307,801,1.128,4767.838,4536,5008,1.128,168.135,146,185
35,1.128,448.054,303,789,1.128,4784.622,4515,5024,1.128,165.351,139,191
36,1.128,440.027,301,735,1.128,4754.784,4477,4952,1.128,171.676,150,197
37,1.128,456.811,308,807,1.128,4905.703,4566,5081,1.128,173.649,154,200
38,1.128,457.757,307,831,1.128,4895.729,4679,5096,1.128,174.081,149,201
39,1.128,457.378,307,732,1.128,4819.567,4608,5057,1.128,169.405,149,200
40,1.128,450.297,280,747,1.128,4777.973,4561,4974,1.128,168.568,141,186
41,1.128,450.595,315,756,1.128,4735.271,4469,4944,1.128,170.297,153,191
42,1.128,470.162,311,794,1.128,4845.973,4677,5022,1.128,176.459,156,204
43,1.128,455.541,301,776,1.128,4768.811,4498,4995,1.128,170.514,146,187
44,1.128,473.486,332,789,1.128,4785.459,4595,4972,1.128,171.297,142,191
45,1.128,460.189,308,817,1.128,4771.595,4559,5080,1.128,169.865,141,195
46,1.128,460.459,308,738,1.128,4760.405,4546,4996,1.128,171.757,147,195
47,1.128,460.189,302,762,1.128,4727.648,4432,4982,1.128,169.108,158,195
48,1.128,464.865,322,788,1.128,4781.757,4490,5059,1.128,170.703,156,198
49,1.128,466.108,296,800,1.128,4774.838,4466,4966,1.128,171.324,150,198
50,1.128,461.216,301,745,1.128,4711.757,4385,4901,1.128,168.459,147,187
51,1.128,458.054,280,780,1.128,4721.405,4501,4865,1.128,171.568,154,195
52,1.128,463.730,313,763,1.128,4693.514,4442,4877,1.128,170.784,147,205
53,1.128,478.432,321,841,1.128,4837.189,4608,5104,1.128,172.568,146,205
54,1.128,467.135,325,786,1.128,4730.946,4567,5040,1.128,171.676,147,201
55,1.128,469.405,336,811,1.128,4724.514,4522,4918,1.128,169.000,152,194
56,1.128,478.405,312,805,1.128,4815.352,4590,4954,1.128,171.919,154,194
57,1.128,479.568,336,775,1.128,4775.595,4550,4963,1.128,171.649,153,189
58,1.128,491.459,313,837,1.128,4904.757,4620,5163,1.128,171.865,143,193
59,1.128,472.757,321,759,1.128,4805.892,4588,5085,1.128,170.703,147,194
60,1.128,480.162,340,772,1.128,4772.433,4524,5010,1.128,168.784,149,187
61,1.128,469.432,322,771,1.128,4684.378,4472,4878,1.128,173.189,147,197
62,1.128,477.162,320,779,1.128,4749.216,4546,4895,1.128,169.459,147,200
63,1.128,473.757,322,765,1.128,4760.811,4534,4966,1.128,171.676,143,197
64,1.128,474.703,311,789,1.128,4734.729,4519,4914,1.128,169.378,152,185
65,1.128,477.351,333,780,1.128,4702.027,4490,4975,1.128,169.405,152,200
66,1.128,478.784,326,789,1.128,4689.378,4557,4877,1.128,169.757,149,196
67,1.128,489.595,367,799,1.128,4871.729,4566,5086,1.128,170.378,139,199
68,1.128,489.703,353,810,1.128,4775.081,4580,5016,1.128,169.270,144,190
69,1.128,490.486,334,811,1.128,4834.486,4548,5028,1.128,170.973,148,197
70,1.128,495.108,366,825,1.128,4864.378,4611,5053,1.128,173.730,152,193
71,1.128,479.946,340,768,1.128,4773.919,4537,4962,1.128,170.838,150,206
72,1.128,501.514,341,817,1.128,4907.486,4683,5164,1.128,169.649,147,190
73,1.128,489.027,345,805,1.128,4761.919,4488,4956,1.128,167.811,144,198
74,1.128,482.432,329,768,1.128,4761.676,4373,4932,1.128,167.459,146,194
75,1.128,479.919,329,810,1.128,4740.216,4520,4935,1.128,170.919,143,193
76,1.128,488.027,317,798,1.128,4771.729,4561,4932,1.128,170.541,154,186
77,1.128,487.027,330,830,1.128,4717.946,4482,4935,1.128,171.676,145,197
78,1.128,489.541,344,772,1.128,4754.622,4502,4932,1.128,169.541,155,187
79,1.128,495.162,355,828,1.128,4711.216,4525,4918,1.128,172.162,152,203
80,1.128,497.541,343,792,1.128,4751.054,4498,4976,1.128,172.865,147,192
81,1.128,498.649,351,794,1.128,4740.622,4546,5002,1.128,169.081,148,193
82,1.128,497.946,342,819,1.128,4770.486,4567,5017,1.128,174.541,155,198
83,1.128,497.405,339,816,1.128,4723.676,4433,4963,1.128,168.676,147,190
84,1.128,494.054,357,802,1.128,4711.378,4503,5020,1.128,171.135,147,195
85,1.128,501.973,369,843,1.128,4708.973,4418,4906,1.128,173.324,151,196
86,1.128,507.027,390,833,1.128,4761.541,4599,4931,1.128,173.649,149,201
87,1.128,514.324,384,826,1.128,4780.595,4494,5005,1.128,171.081,143,188
88,1.128,508.730,331,845,1.128,4718.405,4447,4918,1.128,170.432,136,191
89,1.128,505.405,358,840,1.128,4755.433,4481,4907,1.128,170.270,150,190
90,1.128,525.595,378,894,1.128,4839.729,4583,5022,1.128,172.973,152,190
91,1.128,503.081,348,797,1.128,4761.405,4587,4946,1.128,173.189,148,195
92,1.128,504.135,356,773,1.128,4771.271,4509,5008,1.128,172.784,157,198
93,1.128,518.595,358,881,1.128,4819.243,4628,4990,1.128,170.676,145,193
94,1.128,510.081,369,826,1.128,4745.514,4548,4968,1.128,170.216,155,193
95,1.128,506.595,359,805,1.128,4689.108,4440,4994,1.128,170.486,147,191
96,1.128,512.432,353,831,1.128,4710.973,4508,4948,1.128,169.703,150,199
97,1.128,506.973,351,856,1.128,4702.973,4441,5020,1.128,172.324,154,186
98,1.128,526.703,348,853,1.128,4809.729,4600,5016,1.128,172.568,153,196
99,1.128,515.649,362,851,1.128,4702.838,4496,4936,1.128,169.162,148,192
100,1.128,519.216,363,893,1.128,4716.352,4530,4895,1.128,174.027,153,209
101,1.128,522.324,368,888,1.128,4708.595,4551,4857,1.128,171.432,152,206
102,1.128,525.378,370,869,1.128,4719.729,4498,4885,1.128,172.216,153,208
103,1.128,524.703,368,839,1.128,4691.297,4415,4846,1.128,169.216,149,190
104,1.128,530.000,363,854,1.128,4757.459,4539,4997,1.128,169.892,144,201
105,1.128,530.892,362,851,1.128,4731.108,4480,4902,1.128,170.730,147,194
106,1.128,531.432,384,849,1.128,4803.135,4630,4949,1.128,172.324,149,205
107,1.128,525.622,321,846,1.128,4746.297,4492,4987,1.128,173.676,155,192
108,1.128,537.351,390,921,1.128,4705.352,4500,4856,1.128,169.514,145,186
109,1.128,538.513,372,874,1.128,4712.378,4481,4903,1.128,169.811,149,194
110,1.128,525.865,376,881,1.128,4716.027,4478,4970,1.128,171.297,153,198
111,1.128,559.568,391,961,1.128,4882.135,4656,5204,1.128,171.432,143,193
112,1.128,545.730,395,904,1.128,4767.946,4384,4971,1.128,171.216,143,200
113,1.128,550.892,369,906,1.128,4863.243,4671,5004,1.128,172.324,148,210
