 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,1.585,5784.039,5486,5994,1.585,5660.865,5247,5941,1.585,237.712,195,302
2,1.585,5510.731,5318,5770,1.585,5413.750,5067,5660,1.585,228.538,196,276
3,1.585,5495.942,5288,5676,1.585,5384.789,5050,5676,1.585,227.942,191,276
4,1.585,5356.058,5158,5632,1.585,5239.154,4973,5485,1.585,224.904,195,275
5,1.585,5274.769,5096,5487,1.585,5202.173,4962,5466,1.585,224.096,199,267
6,1.585,5307.154,5028,5687,1.585,5193.385,4880,5474,1.585,223.288,192,284
7,1.585,5337.308,5058,5603,1.585,5245.615,5013,5461,1.585,225.712,191,290
8,1.585,5197.327,4884,5430,1.585,5134.654,4852,5445,1.585,224.865,188,279
9,1.585,5157.635,4903,5405,1.585,5062.577,4890,5316,1.585,218.173,188,276
10,1.585,5195.596,4988,5378,1.585,5069.942,4803,5278,1.585,219.000,190,295
11,1.585,480.731,293,1037,1.585,5218.654,4974,5418,1.585,212.692,172,264
12,1.585,476.135,306,1032,1.585,5028.961,4839,5214,1.585,208.365,177,273
13,1.585,480.846,300,1038,1.585,4973.115,4779,5190,1.585,208.538,173,252
14,1.585,484.385,306,983,1.585,4941.808,4669,5148,1.585,205.154,170,246
15,1.585,487.981,312,1020,1.585,4898.750,4601,5183,1.585,207.135,170,247
16,1.585,495.673,267,1073,1.585,4968.404,4719,5176,1.585,209.115,176,246
17,1.585,489.077,312,1095,1.585,4924.481,4649,5184,1.585,207.154,177,256
18,1.585,489.481,313,1105,1.585,4904.269,4560,5100,1.585,209.288,175,253
19,1.585,495.288,294,1056,1.585,5014.846,4855,5211,1.585,210.269,179,244
20,1.585,498.635,283,1063,1.585,4878.115,4688,5086,1.585,205.577,172,282
21,1.585,490.058,315,1010,1.585,4838.500,4600,4997,1.585,205.135,179,245
22,1.585,500.385,298,1076,1.585,4927.461,4669,5143,1.585,211.596,176,259
23,1.585,495.615,308,1063,1.585,4928.481,4700,5092,1.585,209.750,159,260
24,1.585,488.423,317,976,1.585,4801.500,4651,5000,1.585,204.981,179,262
25,1.585,489.192,316,980,1.585,4785.327,4637,5035,1.585,203.423,175,265
26,1.585,496.750,318,1040,1.585,4839.750,4690,5018,1.585,204.731,179,251
27,1.585,482.481,321,996,1.585,4769.250,4526,5042,1.585,205.750,168,252
28,1.585,486.654,321,967,1.585,4763.769,4561,5019,1.585,204.115,168,249
29,1.585,506.788,316,998,1.585,4921.346,4656,5140,1.585,204.365,175,259
30,1.585,495.904,321,951,1.585,4811.039,4612,5080,1.585,203.865,168,264
31,1.585,489.231,307,1003,1.585,4769.827,4595,4964,1.585,203.096,174,270
32,1.585,492.808,312,1037,1.585,4749.961,4511,4947,1.585,201.058,173,261
33,1.585,499.173,330,1014,1.585,4724.846,4479,4943,1.585,203.942,158,247
34,1.585,505.038,320,1041,1.585,4825.077,4575,5009,1.585,205.346,170,249
35,1.585,497.981,309,1010,1.585,4824.211,4576,5109,1.585,203.654,170,241
36,1.585,493.904,330,960,1.585,4758.769,4450,4923,1.585,201.558,169,264
37,1.585,493.731,316,1000,1.585,4749.077,4470,4953,1.585,200.981,171,261
38,1.585,492.192,304,950,1.585,4684.019,4491,4881,1.585,198.962,176,248
39,1.585,517.615,312,1054,1.585,4931.904,4745,5114,1.585,203.385,156,249
40,1.585,505.558,321,975,1.585,4768.692,4579,4927,1.585,203.558,167,255
41,1.585,508.115,334,1008,1.585,4819.865,4647,4982,1.585,204.615,177,265
42,1.585,498.808,317,995,1.585,4715.289,4535,4899,1.585,199.462,171,248
43,1.585,506.250,331,951,1.585,4706.308,4512,4905,1.585,201.500,174,251
44,1.585,517.423,332,1074,1.585,4869.711,4631,5074,1.585,203.635,156,258
45,1.585,505.250,310,998,1.585,4762.269,4536,4897,1.585,202.827,169,258
46,1.585,502.096,318,969,1.585,4690.692,4342,4962,1.585,201.019,171,260
47,1.585,499.154,342,954,1.585,4712.423,4463,4876,1.585,199.769,172,249
48,1.585,502.846,320,1014,1.585,4665.942,4428,4819,1.585,198.577,169,251
49,1.585,500.923,337,990,1.585,4625.961,4398,4867,1.585,198.442,170,243
50,1.585,513.346,337,974,1.585,4664.423,4456,4880,1.585,198.308,169,253
51,1.585,519.846,333,1044,1.585,4825.731,4594,5039,1.585,200.212,178,260
52,1.585,511.942,336,1024,1.585,4720.942,4482,4933,1.585,200.481,172,260
53,1.585,510.635,335,1012,1.585,4696.115,4540,4842,1.585,199.981,175,255
54,1.585,526.327,321,948,1.585,4857.135,4621,5043,1.585,203.365,170,269
55,1.585,508.135,352,1011,1.585,4728.365,4449,4909,1.585,200.538,169,250
56,1.585,515.308,345,989,1.585,4693.289,4510,4832,1.585,196.808,170,232
57,1.585,503.327,325,957,1.585,4670.827,4494,4878,1.585,199.269,172,250
58,1.585,523.404,353,1006,1.585,4838.231,4661,5064,1.585,205.885,175,250
59,1.585,522.885,342,986,1.585,4763.173,4534,4943,1.585,200.962,161,239
60,1.585,516.058,350,1011,1.585,4711.308,4526,4902,1.585,197.462,170,230
61,1.585,525.077,334,946,1.585,4818.769,4477,5086,1.585,201.731,173,255
62,1.585,517.712,350,993,1.585,4731.192,4529,4913,1.585,197.288,172,263
63,1.585,517.019,357,961,1.585,4719.211,4497,4951,1.585,197.885,165,238
64,1.585,527.423,357,1021,1.585,4775.865,4567,4982,1.585,198.346,164,258
65,1.585,532.423,342,1027,1.585,4800.308,4559,4962,1.585,200.673,164,247
66,1.585,537.404,352,1045,1.585,4803.346,4607,4981,1.585,200.288,179,246
67,1.585,519.692,349,953,1.585,4743.442,4538,5012,1.585,197.462,166,241
68,1.585,522.885,337,964,1.585,4698.865,4445,4909,1.585,198.096,174,232
69,1.585,525.673,340,951,1.585,4685.885,4424,4871,1.585,193.788,168,242
70,1.585,522.846,355,1040,1.585,4660.596,4406,4914,1.585,195.558,168,235
71,1.585,527.731,321,962,1.585,4710.673,4524,4848,1.585,196.577,175,231
72,1.585,516.885,366,956,1.585,4660.577,4438,4906,1.585,197.712,171,250
73,1.585,540.462,356,991,1.585,4854.846,4613,5055,1.585,201.712,175,239
74,1.585,539.385,366,1026,1.585,4695.058,4433,4917,1.585,196.308,165,249
75,1.585,539.058,368,963,1.585,4781.327,4626,5014,1.585,196.423,170,240
76,1.585,540.058,353,1001,1.585,4778.615,4558,4954,1.585,195.846,172,228
77,1.585,531.481,353,983,1.585,4686.096,4508,4931,1.585,194.904,168,233
78,1.585,527.308,342,968,1.585,4673.269,4430,4872,1.585,195.538,165,244
79,1.585,532.558,351,977,1.585,4686.308,4444,4927,1.585,199.462,171,248
80,1.585,533.712,367,908,1.585,4664.635,4398,4856,1.585,198.962,171,240
81,1.585,521.712,361,925,1.585,4647.846,4262,4852,1.585,195.212,166,243
82,1.585,546.500,370,1013,1.585,4788.173,4581,4968,1.585,200.250,167,239
83,1.585,538.750,364,914,1.585,4659.173,4460,4875,1.585,196.865,166,237
84,1.585,544.769,375,950,1.585,4732.365,4508,4910,1.585,196.500,172,226
85,1.585,540.365,364,952,1.585,4661.539,4402,4828,1.585,197.692,168,239
86,1.585,534.481,370,938,1.585,4655.058,4427,4860,1.585,194.096,171,229
87,1.585,540.750,361,942,1.585,4646.269,4349,4820,1.585,196.538,163,250
88,1.585,538.404,360,994,1.585,4626.961,4376,4850,1.585,194.846,167,225
89,1.585,537.269,368,948,1.585,4600.289,4321,4821,1.585,194.615,165,252
90,1.585,540.154,373,956,1.585,4676.673,4498,4853,1.585,198.538,169,251
91,1.585,542.577,347,965,1.585,4629.192,4459,4834,1.585,198.596,166,236
92,1.585,552.327,347,994,1.585,4742.769,4538,4935,1.585,200.596,170,240
93,1.585,544.154,373,933,1.585,4628.115,4303,4876,1.585,193.615,155,253
94,1.585,547.846,339,1039,1.585,4676.461,4503,4834,1.585,198.135,171,235
95,1.585,541.981,331,963,1.585,4613.308,4313,4810,1.585,197.192,169,244
96,1.585,544.404,371,951,1.585,4641.711,4505,4795,1.585,196.692,166,242
97,1.585,554.308,340,972,1.585,4596.558,4395,4805,1.585,195.231,166,255
98,1.585,548.692,364,970,1.585,4620.635,4341,4830,1.585,196.981,169,240
99,1.585,547.500,386,968,1.585,4589.673,4365,4775,1.585,197.808,174,236
100,1.585,537.615,367,971,1.585,4643.961,4436,4864,1.585,197.000,170,243
