 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,1.585,6643.808,6177,6957,1.585,6223.039,5999,6592,1.585,239.577,201,303
2,1.585,6353.923,6034,6642,1.585,5911.942,5639,6230,1.585,231.885,180,280
3,1.585,6180.558,5838,6511,1.585,5781.461,5455,6108,1.585,226.212,192,261
4,1.585,6164.635,5764,6471,1.585,5761.750,5459,6059,1.585,230.462,192,273
5,1.585,6093.904,5699,6348,1.585,5681.942,5398,6054,1.585,227.038,188,272
6,1.585,6305.596,5851,6565,1.585,5890.096,5666,6149,1.585,232.385,198,271
7,1.585,6101.000,5653,6381,1.585,5715.808,5313,6067,1.585,228.077,195,266
8,1.585,6154.635,5815,6577,1.585,5751.173,5468,6078,1.585,224.923,184,265
9,1.585,6023.327,5711,6313,1.585,5612.346,5250,5911,1.585,220.654,182,258
10,1.585,5974.885,5626,6240,1.585,5568.942,5299,5923,1.585,223.942,189,272
11,1.585,652.173,415,1217,1.585,5822.115,5611,6103,1.585,220.654,189,262
12,1.585,638.885,388,1187,1.585,5622.500,5319,6030,1.585,217.942,186,259
13,1.585,657.077,422,1149,1.585,5768.885,5393,5977,1.585,217.346,196,248
14,1.585,664.731,428,1167,1.585,5725.519,5428,6064,1.585,220.250,194,255
15,1.585,659.115,422,1137,1.585,5697.692,5469,6014,1.585,218.173,176,258
16,1.585,646.154,422,1207,1.585,5555.192,5245,5887,1.585,217.288,185,252
17,1.585,638.212,398,1146,1.585,5498.865,5146,5955,1.585,213.712,186,252
18,1.585,643.442,423,1201,1.585,5528.750,5263,5866,1.585,211.788,180,264
19,1.585,642.519,411,1154,1.585,5444.481,5229,5646,1.585,214.173,172,243
20,1.585,644.904,403,1174,1.585,5426.327,5222,5752,1.585,213.462,189,244
21,1.585,646.173,405,1122,1.585,5520.635,5256,5860,1.585,216.385,191,250
22,1.585,642.135,422,1117,1.585,5435.500,5147,5719,1.585,215.615,185,256
23,1.585,632.865,415,1149,1.585,5392.558,5072,5754,1.585,211.846,189,251
24,1.585,638.058,406,1116,1.585,5412.615,5109,5660,1.585,211.423,171,265
25,1.585,625.750,398,1097,1.585,5363.808,5095,5612,1.585,214.423,175,252
26,1.585,647.077,425,1120,1.585,5415.154,5131,5704,1.585,210.538,176,242
27,1.585,648.000,394,1162,1.585,5461.635,5238,5696,1.585,212.481,190,244
28,1.585,646.519,430,1157,1.585,5399.461,5068,5740,1.585,212.519,180,264
29,1.585,653.173,446,1173,1.585,5465.827,5205,5752,1.585,212.077,180,245
30,1.585,670.904,404,1145,1.585,5602.058,5242,5876,1.585,216.173,187,257
31,1.585,659.519,426,1171,1.585,5489.481,5196,5829,1.585,212.442,175,250
32,1.585,651.385,430,1147,1.585,5412.000,5193,5718,1.585,211.712,180,248
33,1.585,647.019,410,1144,1.585,5363.615,5085,5652,1.585,209.269,172,238
34,1.585,667.231,418,1164,1.585,5419.385,5117,5709,1.585,209.904,174,244
35,1.585,650.058,402,1142,1.585,5345.981,5053,5673,1.585,212.019,177,249
36,1.585,657.404,407,1134,1.585,5401.692,5152,5658,1.585,209.308,178,240
37,1.585,656.346,411,1144,1.585,5376.019,5112,5622,1.585,210.981,182,256
38,1.585,652.962,401,1117,1.585,5311.115,5083,5608,1.585,210.462,179,238
39,1.585,648.000,415,1085,1.585,5267.519,5071,5482,1.585,207.308,168,239
40,1.585,656.731,412,1127,1.585,5352.635,5130,5571,1.585,207.654,174,249
41,1.585,662.865,406,1152,1.585,5427.961,5159,5665,1.585,215.558,173,271
42,1.585,647.731,413,1099,1.585,5345.885,5132,5575,1.585,209.173,176,242
43,1.585,654.442,404,1106,1.585,5366.058,5082,5634,1.585,208.077,178,253
44,1.585,655.423,419,1167,1.585,5330.269,5096,5604,1.585,209.769,179,236
