 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2,Area3,Mean3,Min3,Max3
1,1.585,18380.270,17866,18967,1.585,18062.615,17573,18561,1.585,706.212,608,827
2,1.585,17515.309,16986,18073,1.585,17266.115,16790,17715,1.585,670.885,608,819
3,1.585,17008.539,16677,17387,1.585,16779.309,16328,17410,1.585,657.462,562,758
4,1.585,16775.059,16415,17372,1.585,16569.000,16122,16983,1.585,649.346,565,759
5,1.585,16620.654,16310,17065,1.585,16323.885,15981,16698,1.585,648.596,548,742
6,1.585,16524.520,16149,16998,1.585,16110.808,15754,16599,1.585,638.769,547,749
7,1.585,16321.000,15954,16751,1.585,15928.827,15633,16409,1.585,635.654,563,732
8,1.585,16224.462,15871,16697,1.585,15835.827,15495,16288,1.585,629.615,554,721
9,1.585,16094.500,15693,16468,1.585,15781.230,15358,16280,1.585,620.654,542,737
10,1.585,15937.000,15512,16429,1.585,15745.885,15423,16302,1.585,620.135,532,708
11,1.585,2036.442,1248,3380,1.585,16926.000,16538,17511,1.585,611.385,520,692
12,1.585,2416.308,1585,3709,1.585,16799.191,16448,17433,1.585,583.192,508,693
13,1.585,2666.596,1834,3897,1.585,14381.270,13984,14824,1.585,621.404,562,735
14,1.585,3112.269,2173,4282,1.585,15642.904,15191,16045,1.585,592.346,515,677
15,1.585,3406.039,2531,4532,1.585,15521.615,15002,16006,1.585,586.404,524,689
16,1.585,3686.058,2865,4713,1.585,15425.692,15099,16015,1.585,581.865,505,665
17,1.585,3923.596,3083,5046,1.585,15352.462,14912,15847,1.585,580.019,509,665
18,1.585,4162.731,3457,5157,1.585,15317.480,14944,15931,1.585,579.250,501,672
19,1.585,4400.269,3743,5287,1.585,15350.923,14991,15767,1.585,575.000,498,650
20,1.585,4644.096,3961,5641,1.585,15240.596,14657,15761,1.585,576.462,508,661
21,1.585,4836.192,4030,5958,1.585,15275.980,14942,15658,1.585,573.462,506,651
22,1.585,5069.961,4438,6059,1.585,15215.673,14808,15962,1.585,570.346,478,686
23,1.585,5229.289,4569,6153,1.585,15198.154,14790,15708,1.585,570.538,510,632
24,1.585,5390.039,4755,6279,1.585,15113.962,14747,15488,1.585,568.327,514,657
25,1.585,5572.135,4936,6594,1.585,15112.173,14604,15712,1.585,570.942,501,643
26,1.585,5751.577,5132,6812,1.585,14975.730,14579,15378,1.585,562.346,507,639
27,1.585,5865.000,5284,6729,1.585,14939.730,14526,15398,1.585,569.327,504,632
28,1.585,6186.289,5664,7073,1.585,15201.212,14507,15608,1.585,568.115,487,637
29,1.585,6245.558,5708,7058,1.585,14973.846,14665,15442,1.585,565.423,489,653
30,1.585,6476.135,5925,7388,1.585,15063.423,14598,15766,1.585,571.019,480,640
31,1.585,6704.577,6152,7573,1.585,15258.192,14791,15810,1.585,583.192,510,694
32,1.585,6704.904,6125,7418,1.585,14968.788,14524,15410,1.585,568.404,526,663
33,1.585,6758.635,6218,7482,1.585,14947.192,14663,15416,1.585,566.000,501,648
34,1.585,6850.885,6356,7696,1.585,14862.192,14291,15531,1.585,567.596,481,649
35,1.585,7179.500,6656,8127,1.585,15290.827,14827,15798,1.585,571.096,504,642
36,1.585,7463.404,6872,8271,1.585,15606.212,15177,16005,1.585,583.192,506,640
37,1.585,7748.731,7101,8556,1.585,15813.288,15150,16327,1.585,596.058,526,668
38,1.585,7571.231,6962,8251,1.585,15185.230,14633,15839,1.585,577.577,472,664
39,1.585,7593.654,7086,8266,1.585,15021.404,14457,15568,1.585,565.154,491,645
40,1.585,7788.385,7277,8342,1.585,15161.538,14767,15526,1.585,578.904,510,675
41,1.585,7762.346,7163,8337,1.585,14914.980,14526,15305,1.585,568.596,512,627
42,1.585,7752.289,7254,8495,1.585,14813.596,14459,15157,1.585,563.250,498,630
43,1.585,7797.423,7225,8698,1.585,14725.038,13978,15087,1.585,560.231,491,673
44,1.585,7841.154,7412,8463,1.585,14620.692,14127,15021,1.585,557.923,459,674
45,1.585,7912.904,7352,8717,1.585,14628.173,14131,15141,1.585,559.635,501,626
46,1.585,8138.135,7610,8978,1.585,14872.058,14379,15536,1.585,572.212,498,649
47,1.585,8077.039,7623,8630,1.585,14653.000,14224,15102,1.585,562.288,511,639
48,1.585,8236.096,7661,8894,1.585,14747.596,14133,15384,1.585,569.173,495,643
